id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
640079149,quivr,QuivrHQ/quivr,QuivrHQ,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. ",Python,38317,3673,38317,20,2023-05-12T23:53:30Z,2025-08-22T00:10:21Z,2025-07-09T12:55:23Z,130685,Other,https://github.com/QuivrHQ/quivr,https://github.com/QuivrHQ/quivr.git,"ai, api, chatbot, chatgpt, database, docker, framework, frontend, groq, html, javascript, llm, openai, postgresql, privacy, rag, react, security, typescript, vector"
91253698,ccxt,ccxt/ccxt,ccxt,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,Python,37718,8113,37718,1361,2017-05-14T15:41:56Z,2025-08-22T04:46:04Z,2025-08-21T19:37:33Z,5249909,MIT License,https://github.com/ccxt/ccxt,https://github.com/ccxt/ccxt.git,"altcoin, api, arbitrage, bitcoin, bot, btc, crypto, cryptocurrencies, cryptocurrency, eth, ethereum, exchange, invest, library, market-data, memecoin, merchant, strategy, trade, trading"
806709826,ChatTTS,2noise/ChatTTS,2noise,A generative speech model for daily dialogue.,Python,37592,4066,37592,70,2024-05-27T18:26:49Z,2025-08-22T04:31:55Z,2025-07-06T15:11:14Z,10047,GNU Affero General Public License v3.0,https://github.com/2noise/ChatTTS,https://github.com/2noise/ChatTTS.git,"agent, chat, chatgpt, chattts, chinese, chinese-language, english, english-language, gpt, llm, llm-agent, natural-language-inference, python, text-to-speech, torch, torchaudio, tts"
118861276,python-cheatsheet,gto76/python-cheatsheet,gto76,Comprehensive Python Cheatsheet,Python,37580,6652,37580,22,2018-01-25T04:16:53Z,2025-08-21T12:52:52Z,2025-07-31T18:22:41Z,13186,,https://github.com/gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet.git,"cheatsheet, python, python-cheatsheet, reference"
577603990,Open-Assistant,LAION-AI/Open-Assistant,LAION-AI,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",Python,37454,3297,37454,293,2022-12-13T05:24:17Z,2025-08-22T02:46:01Z,2024-08-17T01:55:35Z,35477,Apache License 2.0,https://github.com/LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant.git,"ai, assistant, chatgpt, discord-bot, language-model, machine-learning, nextjs, python, rlhf"
349321229,GFPGAN,TencentARC/GFPGAN,TencentARC,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,Python,37002,6176,37002,394,2021-03-19T06:18:20Z,2025-08-22T00:52:00Z,2024-07-26T18:44:02Z,5467,Other,https://github.com/TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN.git,"deep-learning, face-restoration, gan, gfpgan, image-restoration, pytorch, super-resolution"
191113739,interview_internal_reference,0voice/interview_internal_reference,0voice,2023年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,Python,36976,9454,36976,33,2019-06-10T06:54:19Z,2025-08-21T07:46:20Z,2024-05-20T12:04:02Z,1160,,https://github.com/0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference.git,"cpu, high-performance, interview, mongodb, mysql, network, nginx, redis, storage, zookeeper"
638629097,aider,Aider-AI/aider,Aider-AI,aider is AI pair programming in your terminal,Python,36853,3416,36853,1179,2023-05-09T18:57:49Z,2025-08-22T03:50:57Z,2025-08-13T17:30:01Z,139764,Apache License 2.0,https://github.com/Aider-AI/aider,https://github.com/Aider-AI/aider.git,"anthropic, chatgpt, claude-3, cli, command-line, gemini, gpt-3, gpt-35-turbo, gpt-4, gpt-4o, llama, openai, sonnet"
101684374,wtfpython,satwikkansal/wtfpython,satwikkansal,What the f*ck Python? 😱,Python,36577,2670,36577,68,2017-08-28T20:22:19Z,2025-08-22T04:00:16Z,2025-05-10T11:50:03Z,1544,Do What The F*ck You Want To Public License,https://github.com/satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython.git,"documentation, gotchas, interview-questions, pitfalls, python, python-interview-questions, snippets, wats, wtf"
393571599,MockingBird,babysor/MockingBird,babysor,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,Python,36565,5263,36565,481,2021-08-07T03:53:39Z,2025-08-22T03:52:32Z,2024-11-15T05:00:29Z,130682,Other,https://github.com/babysor/MockingBird,https://github.com/babysor/MockingBird.git,"ai, deep-learning, pytorch, speech, text-to-speech, tts"
826168160,docling,docling-project/docling,docling-project,Get your documents ready for gen AI,Python,36486,2504,36486,503,2024-07-09T07:50:26Z,2025-08-22T05:00:38Z,2025-08-21T16:18:08Z,126338,MIT License,https://github.com/docling-project/docling,https://github.com/docling-project/docling.git,"ai, convert, document-parser, document-parsing, documents, docx, html, markdown, pdf, pdf-converter, pdf-to-json, pdf-to-text, pptx, tables, xlsx"
57222302,gym,openai/gym,openai,A toolkit for developing and comparing reinforcement learning algorithms.,Python,36407,8688,36407,128,2016-04-27T14:59:16Z,2025-08-22T02:32:29Z,2024-10-11T20:07:05Z,7123,Other,https://github.com/openai/gym,https://github.com/openai/gym.git,
3544424,cli,httpie/cli,httpie,"🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",Python,36407,3755,36407,211,2012-02-25T12:39:13Z,2025-08-22T02:45:52Z,2024-12-17T17:30:35Z,6925,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/httpie/cli,https://github.com/httpie/cli.git,"api, api-client, api-testing, cli, client, curl, debugging, developer-tools, development, devops, http, http-client, httpie, json, python, rest, rest-api, terminal, usability, web"
474839179,Umi-OCR,hiroi-sora/Umi-OCR,hiroi-sora,"OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。",Python,36213,3589,36213,271,2022-03-28T04:01:46Z,2025-08-22T04:48:43Z,2025-05-31T08:22:02Z,281326,MIT License,https://github.com/hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR.git,"ocr, ocr-python, paddleocr, qml, qt, screenshot, umi-ocr"
651517185,MediaCrawler,NanmiCoder/MediaCrawler,NanmiCoder,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,Python,36071,8376,36071,99,2023-06-09T12:14:34Z,2025-08-22T04:45:38Z,2025-08-18T11:15:50Z,22800,Other,https://github.com/NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler.git,
710601088,crewAI,crewAIInc/crewAI,crewAIInc,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",Python,35977,4831,35977,146,2023-10-27T03:26:59Z,2025-08-22T04:54:00Z,2025-08-22T04:32:54Z,158261,MIT License,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI.git,"agents, ai, ai-agents, aiagentframework, llms"
642323624,DragGAN,XingangPan/DragGAN,XingangPan,Official Code for DragGAN (SIGGRAPH 2023),Python,35912,3438,35912,153,2023-05-18T10:08:02Z,2025-08-21T13:13:02Z,2024-05-18T17:51:40Z,34847,Other,https://github.com/XingangPan/DragGAN,https://github.com/XingangPan/DragGAN.git,"artificial-intelligence, generative-adversarial-network, generative-models, image-manipulation"
24976755,HanLP,hankcs/HanLP,hankcs,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理,Python,35534,10745,35534,12,2014-10-09T06:36:16Z,2025-08-22T03:02:52Z,2025-05-15T02:30:50Z,72907,Apache License 2.0,https://github.com/hankcs/HanLP,https://github.com/hankcs/HanLP.git,"dependency-parser, hanlp, named-entity-recognition, natural-language-processing, nlp, pos-tagging, semantic-parsing, text-classification"
143328315,mindsdb,mindsdb/mindsdb,mindsdb,AI Analytics Engine that can answer questions over large scale data. - The only MCP Server you'll ever need,Python,35364,5708,35364,139,2018-08-02T17:56:45Z,2025-08-22T05:03:59Z,2025-08-22T05:05:38Z,264344,Other,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb.git,"agents, agi, ai, analytics, artificial-inteligence, business-intelligence, databases, llms, mcp, rag"
4793392,sqlmap,sqlmapproject/sqlmap,sqlmapproject,Automatic SQL injection and database takeover tool,Python,35101,6005,35101,59,2012-06-26T09:52:15Z,2025-08-22T02:31:52Z,2025-08-19T09:32:01Z,85229,Other,https://github.com/sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap.git,"database, detection, exploitation, pentesting, python, sql-injection, sqlmap, takeover, vulnerability-scanner"
168799526,pytorch-image-models,huggingface/pytorch-image-models,huggingface,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",Python,35088,4996,35088,77,2019-02-02T05:51:12Z,2025-08-22T03:53:25Z,2025-08-08T19:23:26Z,28667,Apache License 2.0,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models.git,"augmix, convnext, distributed-training, efficientnet, image-classification, imagenet, maxvit, mixnet, mobile-deep-learning, mobilenet-v2, mobilenetv3, nfnets, normalization-free-training, optimizer, pretrained-models, pretrained-weights, pytorch, randaugment, resnet, vision-transformer-models"
